Job_Title,Total_Compensation
"Software Engineer",47635535
"Senior Software Engineer",36232002
"Project Manager",24859152
Director,24453194
"Product Manager",19395238
"Program Manager",19242789
Manager,16013305
"Executive Assistant",14481166
Attorney,12631220
"Software Developer",11851400
Teacher,11429703
"Engineering Manager",11065956
"Senior Manager",10690962
Librarian,10426601
"Data Analyst",10420480
"Data Scientist",10228455
Consultant,10016815
"Assistant Professor",9763106
"Vice President",9091165
Associate,9004270
"Marketing Manager",8967817
Analyst,8257901
"Executive Director",8141438
"Operations Manager",8094840
"Associate Attorney",7936650
"Registered Nurse",7857479
"Business Analyst",7824819
"Associate Director",7601509
"Office Manager",7138465
"HR  Manager",7106073
"Senior Project Manager",7081475
"Administrative Assistant",6957227
"Senior Consultant",6835543
"Account Manager",6643327
"Senior Product Manager",6103805
Controller,6037211
Paralegal,6005970
"Senior Analyst",5891453
"Senior Engineer",5748870
"Senior Associate",5647459
"Senior Program Manager",5583500
"Software Engineer II",5522682
Editor,5359077
"Director Of Operations",5304876
"Senior Software Developer",5187837
"Assistant Director",5115060
"Associate Professor",5045946
"Technical Writer",5026974
"Principal Software Engineer",4943054
"Senior Director",4773500
"Senior Data Scientist",4665150
"Staff Software Engineer",4561200
"Marketing Director",4497082
"Accounting Manager",4474730
"Customer Success Manager",4164225
"HR  Director",4122450
"Account Executive",4112500
"Communication Manager",4029122
"Senior Editor",4000053
"Project Engineer",3908315
"Lead Software Engineer",3871889
"Chief Of Staff",3868875
Professor,3851014
"IT Manager",3832679
"Program Coordinator",3810642
"Research Scientist",3776585
Scientist,3750558
"Project Coordinator",3700502
"Site Reliability Engineer",3679100
"Graphic Designer",3602678
"Director Of Engineering",3541500
"Program Director",3475206
"Senior Financial Analyst",3453646
"Process Engineer",3452154
"Director Of Human Resources",3439385
"Senior Business Analyst",3435241
"Mechanical Engineer",3418993
"CEO (Chief Executive Officer)",3418400
"Financial Analyst",3393551
"HR  Generalist",3271070
"Systems Engineer",3239414
"Senior Marketing Manager",3229005
"Nurse Practitioner",3158038
"Human Resources Manager",3120069
"Finance Manager",3118163
Partner,3108200
"Director Of Development",3107450
"Product Owner",3079805
"Legal Assistant",3052091
"General Manager",3041845
"Senior Scientist",3004906
Accountant,2981898
"Senior Accountant",2981401
"Research Associate",2859183
"Director Of Marketing",2858988
"Staff Attorney",2844736
"Web Developer",2841120
Engineer,2830624
"Staff Accountant",2819285
"Senior Data Analyst",2809743
"Principal Engineer",2796258
"Data Engineer",2788890
Supervisor,2776537
"Instructional Designer",2741051
"Policy Analyst",2723892
Counsel,2699330
Lawyer,2645000
"Senior Developer",2592000
"Communications Specialist",2575417
"Managing Editor",2569889
"Development Manager",2528693
"Library Director",2507732
"Software Engineering Manager",2467500
"Senior Product Designer",2455480
"Security Engineer",2453257
Pharmacist,2448552
Coordinator,2395979
"Team Lead",2354616
"Senior Technical Writer",2347271
"Sales Manager",2327250
"Director Of HR",2316304
"Software Development Manager",2311000
"Principal Consultant",2298026
"Business Development Manager",2294990
"HR  Business Partner",2285350
"Software Architect",2280384
"Research Analyst",2268490
"DevOps Engineer",2261778
"Senior Executive Assistant",2242172
"Marketing Coordinator",2224317
Archivist,2194117
"Program Analyst",2188775
"Staff Engineer",2174666
"Social Media Manager",2174381
"Director Of Communications",2169355
"Communications Director",2082240
"Senior Counsel",2038800
"IT Director",2036575
"Managing Director",2028520
"Technical Program Manager",2020808
"Digital Marketing Manager",2006466
"Quality Engineer",1960229
"Deputy Director",1951286
"Development Director",1920950
"Branch Manager",1894117
"Academic Advisor",1892750
"Research Manager",1881717
"Social Worker",1862167
Recruiter,1853415
"Senior User Experience (UX)  Designer",1842500
"Product Marketing Manager",1832650
"Production Manager",1810721
Copywriter,1805457
"Product Designer",1780510
"Electrical Engineer",1746670
Lecturer,1740053
"High School Teacher",1738313
"Civil Engineer",1694597
Administrator,1692033
"Solutions Architect",1686000
"Case Manager",1685814
"Software Development Engineer",1678700
"Compliance Manager",1672520
"Senior Business Systems Analyst",1667895
"Sales Engineer",1667410
"Software Engineer III",1656602
"Business Systems Analyst",1655558
"Associate General Counsel",1651885
"Analytics Manager",1646600
"Creative Director",1632632
"User Experience (UX) Designer",1625200
"Systems Analyst",1624100
Unknown,1616040
Economist,1609365
"Engagement Manager",1595500
"Solution Architect",1571600
"Store Manager",1565447
"Human Resources Director",1556400
Underwriter,1548900
"Grants Manager",1546762
"Marketing Specialist",1541986
"Director Of It",1523600
"Senior Project Engineer",1521160
"Special Education Teacher",1512418
"Director of Customer Success",1498100
Veterinarian,1497000
"Senior Corporate Counsel",1492500
"Senior Policy Analyst",1485157
Geologist,1479768
"Brand Manager",1477750
"Research Assistant",1476186
"CTO (Chief Technology Officer)",1473100
"Physician Assistant",1470500
"Content Manager",1469780
"Administrative Coordinator",1467046
Researcher,1458624
"Finance Director",1445825
"Senior Account Executive",1439100
Architect,1424958
"Senior Account Manager",1414510
"Program Officer",1413317
"Business Intelligence Analyst",1409492
"Materials Engineer",1403433
"Associate Consultant",1396600
"Senior Systems Engineer",1391969
Epidemiologist,1390970
"Lead Developer",1384000
"Email Marketing Manager",1383200
"Account Director",1372500
"Director Of Technology",1351240
"Team Leader",1348267
"IT Project Manager",1347748
"Art Director",1346100
"Senior Mechanical Engineer",1344402
Instructor,1339758
"Attorney Advisor",1324282
"Senior Customer Success Manager",1323939
