Country,Job_Title,Highest_Salary
Afghanistan,"Country Director",41000
Africa,"Communications Specialist",90000
Argentina,"Full Stack Developer",114000
Australia,"Senior Software Engineer And Market Analysr",192000
Australia,"Project Manager",190000
Australia,"Country Head Of Market Access",190000
Australia,"Principal Consultant",186000
Australia,"Business Development Director",185000
Australia,"Senior Compliance Manager",180000
Australia,TAM,180000
Australia,"Faculty Manager",178000
Australia,"Software Engineering Manager",175000
Australia,"Engineering Manager",175000
Australia,"Financial Controller",172000
Australia,"Technical Underwriter",172000
Australia,"Systems Analyst",168200
Australia,Teacher,168000
Australia,"ESOL Teacher",167000
Australia,"Senior Developer",167000
Australia,"Senior Cost Recovery Officer",166400
Australia,"Deputy CEO (Chief Executive Officer)",165000
Australia,"Senior Associate",162800
Australia,"Program Manager",162000
Australia,Manager,160000
Australia,"Veterinary Specialist",160000
Australia,"Digital Lead",160000
Australia,"Private Instrumental Tutor",156000
Australia,"Associate Professor",155200
Australia,"Project Quality Manager",155000
Australia,"Lead Developer",155000
Australia,"Senior Manager",155000
Australia,"Senior Executive - Deputy",152000
Australia,Director,151000
Australia,"Learning Leader",150000
Australia,"Strategy Director",150000
Australia,"Public Servant",149000
Australia,"Crm Manager",145000
Australia,"Lead Consultant",145000
Australia,"Software Test Lead",145000
Australia,"Solution Architect",145000
Australia,Geophysicist,142100
Australia,"Senior Support Engineer",142000
Australia,"Senior Product Designer",140000
Australia,"Senior Manager Digital Transformation",140000
Australia,"Museum Executive",140000
Australia,"Architect, Quality Engineering",140000
Australia,"Head Of Digital",140000
Australia,Executive,140000
Australia,Geologist,138000
Australia,"Software Team Lead",137000
Australia,"Actuarial Manager",136000
Australia,"Senior Environmental Advisor",135000
Australia,"Customer Success Manager",135000
Australia,"Security Engineer",135000
Australia,"Senior Software Developer",135000
Australia,"Doctor (Psychiatry Registrar)",134800
Australia,"Director Of Communications",134000
Australia,"Project Engineer",133000
Australia,"Departmental Manager",132000
Australia,"Content Manager",131000
Australia,"Risk Consultant",131000
Australia,"Technical Operations Manager",130000
Australia,"Distribution Partner Account Manager",130000
Australia,"Policy Specialist",130000
Australia,Unknown,130000
Australia,"People And Culture Manager",130000
Australia,"Associate Director",130000
Australia,"Manager Of Developer Relations",130000
Australia,"Site Reliability Engineer",130000
Australia,"Business Design Consultant",128000
Australia,"Senior HR  Advisor",125000
Australia,"Quality Management System Manager",123000
Australia,"Senior Engineer",122000
Australia,"Executive Assistant",120910
Australia,"Business Analyst",120365
Australia,"Software Engineer",120000
Australia,"Clinical Research Associate",120000
Australia,"Cloud Engineer",120000
Australia,"Senior Executive Assistant",120000
Australia,"Content Producer",120000
Australia,"Assistant Professor",120000
Australia,"Executive Officer",120000
Australia,"Research Fellow",120000
Australia,"Event Manager",120000
Australia,"Supervising Producer",120000
Australia,"Group HR  Manager",120000
Australia,"Development Coordinator",119000
Australia,"Assistant Director",119000
Australia,"Head Of Literacy",118000
Australia,"Team Leader",118000
Australia,Lecturer,116584
Australia,"Finance & HR  Manager",116000
Australia,"Graduate Process Engineer",115000
Australia,"Software Developer",115000
Australia,"Communications Consultant",115000
Australia,"Apac Digital Marketing Specialist",115000
Australia,"Senior Analyst",114000
Australia,"Regulatory Compliance Advisor",114000
Australia,"Supply Change Business Analyst",112818
Australia,"Senior Finance Analyst",112000
Australia,Economist,112000
Australia,"Project Officer",111000
Australia,"Ict Project Manager",110000
Australia,"Assistant Director Communication",110000
Australia,"Laboratory Technician",110000
Australia,"Director of Global Partnerships",110000
Australia,"Senior Environmental Scientist",110000
Australia,"Learning/Instructional Designer",110000
Australia,"Customer Experience Specialist",110000
Australia,"Data Scientist",107000
Australia,"Product Manager",107000
Australia,"Senior Designer",106000
Australia,"Applications Specialist",106000
Australia,"Clinical Nurse Consultant",106000
Australia,"Research Scientist",105000
Australia,"Classroom Teacher/ Grade Coordinator",105000
Australia,"High School Teacher",105000
Australia,"Paid Media Lead",105000
Australia,Physiotherapist,105000
Australia,"Senior Project Engineer",105000
Australia,"Senior Solicitor",104500
Australia,Coordinator,104000
Australia,"Human Factors Engineer",103000
Australia,"Operations Manager",103000
Australia,"Senior Planner",103000
Australia,"Philanthropy Manager",102500
Australia,"Training Manager",102300
Australia,"National Business Coordinator",102000
Australia,"Senior Policy Advisor",102000
Australia,"Senior Project Advisor",101500
Australia,"Senior Legal Policy Advisor",101000
Australia,"Senior Student Recruitment Officer",101000
Australia,"Compliance & Finance Manager",100521
Australia,"Associate Head: School Of Sciences",100400
Australia,"Training Specialist",100000
Australia,"Pursuits Specialist",100000
Australia,"Data Analyst",100000
Australia,"Bid Writer",100000
