City,Industry,Average_Salary
?stanbul,TRANSLATION,72.0000
"A Coruña","COMPUTING OR TECH",60000.0000
"A Coruña","HOSPITALITY & EVENTS",14500.0000
"A Suburb Of Boston","EDUCATION (PRIMARY/SECONDARY)",82650.0000
Aachen,"COMPUTING OR TECH",61000.0000
Abbotsford,LAW,95000.0000
Abbotsford,"EDUCATION (HIGHER EDUCATION)",80500.0000
Aberdeen,"GOVERNMENT  & PUBLIC ADMINISTRATION",113000.0000
Aberdeen,"OIL & GAS",80000.0000
Aberdeen,"ACCOUNTING, BANKING & FINANCE",68556.0000
Aberdeen,"ENGINEERING OR MANUFACTURING",55666.6667
Aberdeen,"COMPUTING OR TECH",40300.0000
Aberdeen,SALES,40000.0000
Aberdeen,"HEALTH CARE",34000.0000
Aberdeen,RETAIL,31200.0000
Aberdeen,"GOVERNMENT & PUBLIC ADMINISTRATION",27946.0000
Aberdeen,"UTILITIES & TELECOMMUNICATIONS",27600.0000
Aberdeen,NONPROFITS,23587.5000
Aberdeen,"EDUCATION (PRIMARY/SECONDARY)",23000.0000
Aberdeen,"OIL AND GAS",22000.0000
"Aberdeen Proving Ground","GOVERNMENT AND PUBLIC ADMINISTRATION",75176.0000
Aberdeenshire,RETAIL,40000.0000
Abidjan,ENERGY,67500.0000
Abilene,MANUFACTURING,95000.0000
Abilene,"HEALTH CARE",50000.0000
Abilene,"PROPERTY OR CONSTRUCTION",41600.0000
Abington,"HEALTH CARE",49500.0000
Accra,"TRANSPORT OR LOGISTICS",132000.0000
Accra,NONPROFITS,82583.0000
Accra,"COMPUTING OR TECH",500.0000
"Acton, Ma","EDUCATION (PRIMARY/SECONDARY)",82000.0000
Adairsville,"ENGINEERING OR MANUFACTURING",45760.0000
Addis,"ENGINEERING OR MANUFACTURING",86000.0000
Addison,"COMPUTING OR TECH",130625.0000
Adelaide,"COMPUTING OR TECH",133500.0000
Adelaide,"ENGINEERING OR MANUFACTURING",103000.0000
Adelaide,"EDUCATION (HIGHER EDUCATION)",101000.0000
Adelaide,"MEDIA & DIGITAL",98000.0000
Adelaide,"GOVERNMENT AND PUBLIC ADMINISTRATION",96033.3333
Adelaide,"HOSPITALITY & EVENTS",89000.0000
Adelaide,LAW,85000.0000
Adelaide,"EDUCATION (PRIMARY/SECONDARY)",82546.5000
Adelaide,"GOVERNMENT & PUBLIC ADMINISTRATION",78500.0000
Adelaide,RETAIL,72000.0000
Adelaide,"HEALTH CARE",71000.0000
Adelaide,NONPROFITS,68763.2000
Adelaide,"ACCOUNTING, BANKING & FINANCE",67800.0000
Adelaide,SCIENCE/BIOTECH,65000.0000
Adelaide,"AGRICULTURE OR FORESTRY",50768.0000
Adelaide,"LEISURE, SPORT & TOURISM",50000.0000
"Affluent Chicago Suburb","COMPUTING OR TECH",140000.0000
Africa,NONPROFITS,90000.0000
Agawam,NONPROFITS,95000.0000
Agawam,"EDUCATION (PRIMARY/SECONDARY)",20000.0000
Aguadilla,SALES,16000.0000
Aiken,"NATIONAL LABORATORY",115000.0000
Aiken,"ENGINEERING OR MANUFACTURING",70000.0000
Aiken,"CULTURAL RESOURCES MANAGEMENT/MAJOR UNIV.",30000.0000
Aiken,RETAIL,29640.0000
Ainsworth,"HEALTH CARE",33800.0000
Airdrie,"EDUCATION (PRIMARY/SECONDARY)",54000.0000
Akron,NONPROFITS,93000.0000
Akron,"GOVERNMENT & PUBLIC ADMINISTRATION",87000.0000
Akron,"ENGINEERING OR MANUFACTURING",86000.0000
Akron,"COMPUTING OR TECH",74500.0000
Akron,"ACCOUNTING, BANKING & FINANCE",66000.0000
Akron,"UTILITIES & TELECOMMUNICATIONS",54000.0000
Akron,"HEALTH CARE",52306.6667
Akron,"GOVERNMENT AND PUBLIC ADMINISTRATION",36026.5000
Akron,"EDUCATION (HIGHER EDUCATION)",35000.0000
"Akron, Ohio","EDUCATION (HIGHER EDUCATION)",38500.0000
"Al Khobar","OIL & GAS",107045.0000
Alabama,"ART & DESIGN",64000.0000
Alabama,"COMPUTING OR TECH",35000.0000
Alameda,"ENGINEERING OR MANUFACTURING",112333.3333
Alameda,BIOTECH,93000.0000
Alameda,"BEAUTY/SERVICE INDUSTRY",72800.0000
Alamogordo,"EDUCATION (PRIMARY/SECONDARY)",60000.0000
Alamogordo,NONPROFITS,42000.0000
Albany,"PHARMA & BIOTECH",125760.0000
Albany,"COMPUTING OR TECH",106661.8000
Albany,"MARKETING, ADVERTISING & PR",106000.0000
Albany,"HEALTH CARE",102580.0000
Albany,"GOVERNMENT  & PUBLIC ADMINISTRATION",94753.7500
Albany,LAW,85500.0000
Albany,"TRANSPORT OR LOGISTICS",80700.0000
Albany,"ENGINEERING OR MANUFACTURING",79784.8000
Albany,"GOVERNMENT AND PUBLIC ADMINISTRATION",79607.8750
Albany,"ACCOUNTING, BANKING & FINANCE",70000.0000
Albany,"GOVERNMENT & PUBLIC ADMINISTRATION",67997.5000
Albany,"BUSINESS OR CONSULTING",66250.0000
Albany,"PHARMACEUTICAL RESEARCH (CHEMIST)",64000.0000
Albany,"LEARNING AND DEVELOPMENT",62000.0000
Albany,"UTILITIES & TELECOMMUNICATIONS",60900.0000
Albany,LIBRARY,60000.0000
Albany,NONPROFITS,58587.5000
Albany,"EDUCATION (HIGHER EDUCATION)",55025.0000
Albany,"EDUCATION (PRIMARY/SECONDARY)",39000.0000
Albany,UNKNOWN,36000.0000
Albany,RETAIL,35360.0000
Albany,"FAST FOOD",31200.0000
Albany,ENTERTAINMENT,14000.0000
"Albany Region","EDUCATION (HIGHER EDUCATION)",36000.0000
"Albany-Schenectady-Troy Metro Area","EDUCATION (PRIMARY/SECONDARY)",64000.0000
"Albany, NY","MEDIA & DIGITAL",125000.0000
"Albany, NY","EDUCATION (HIGHER EDUCATION)",48500.0000
Albemarle,"GOVERNMENT AND PUBLIC ADMINISTRATION",62000.0000
Alberta,"BUSINESS OR CONSULTING",80000.0000
Alberta,"GOVERNMENT  & PUBLIC ADMINISTRATION",74000.0000
Alberta,NONPROFITS,56000.0000
Alberta,RETAIL,55000.0000
Alberta,"UTILITIES & TELECOMMUNICATIONS",54400.0000
Alberta,"ACCOUNTING, BANKING & FINANCE",52500.0000
Albuquerque,"SCIENCE RESEARCH, GOVERNMENT",131000.0000
Albuquerque,"ENGINEERING OR MANUFACTURING",114200.0000
Albuquerque,"UTILITIES & TELECOMMUNICATIONS",113500.0000
Albuquerque,"COMPUTING OR TECH",107150.0000
Albuquerque,"GOVERNMENT AND PUBLIC ADMINISTRATION",100000.0000
Albuquerque,"TRANSPORT OR LOGISTICS",99166.6667
Albuquerque,"BUSINESS OR CONSULTING",79500.0000
Albuquerque,LAW,79226.6667
Albuquerque,INSURANCE,69124.5000
Albuquerque,"PROPERTY OR CONSTRUCTION",67500.0000
Albuquerque,"EDUCATION (HIGHER EDUCATION)",67500.0000
Albuquerque,"HEALTH CARE",67190.0000
Albuquerque,"ACCOUNTING, BANKING & FINANCE",61333.3333
Albuquerque,ARCHITECTURE,60000.0000
Albuquerque,LIBRARY,49500.0000
Albuquerque,"GOVERNMENT  & PUBLIC ADMINISTRATION",48355.0000
Albuquerque,"SOCIAL WORK",47500.0000
Albuquerque,"EDUCATION (PRIMARY/SECONDARY)",46205.5000
Albuquerque,NONPROFITS,41300.0000
Albuquerque,RETAIL,36289.0000
Albuquerqur,"ENGINEERING OR MANUFACTURING",77000.0000
Aldie,"EDUCATION (PRIMARY/SECONDARY)",37400.0000
"Aldie, VA","EDUCATION (PRIMARY/SECONDARY)",63000.0000
Alexandria,SCIENCE,160000.0000
Alexandria,"MEDIA & DIGITAL",144000.0000
Alexandria,"GOVERNMENT  & PUBLIC ADMINISTRATION",123000.0000
Alexandria,"DEFENSE CONTRACTING",115000.0000
Alexandria,LAW,113333.3333
Alexandria,"GOVERNMENT AND PUBLIC ADMINISTRATION",109264.8333
Alexandria,"HEALTH CARE",107250.0000
Alexandria,"EDUCATION (PRIMARY/SECONDARY)",107113.3333
Alexandria,"COMPUTING OR TECH",105275.0000
Alexandria,"INSTRUCTIONAL DESIGN AND TRAINING",104000.0000
Alexandria,NONPROFITS,99285.7143
Alexandria,"ENGINEERING OR MANUFACTURING",97265.0000
Alexandria,"BUSINESS OR CONSULTING",96100.0000
Alexandria,"ACCOUNTING, BANKING & FINANCE",79000.0000
Alexandria,"INFORMATION SCIENCES",77200.0000
Alexandria,"MARKETING, ADVERTISING & PR",75142.8571
Alexandria,"PROPERTY OR CONSTRUCTION",72000.0000
Alexandria,ASSOCIATION,67000.0000
Alexandria,"ART & DESIGN",64000.0000
Alexandria,"RECRUITMENT OR HR",63000.0000
Alexandria,"HOSPITALITY & EVENTS",62000.0000
Alexandria,PUBLISHING,62000.0000
Alexandria,"PUBLIC LIBRARIES",58000.0000
Alexandria,"PROFESSIONAL ASSOCIATION",56500.0000
Alexandria,"EDUCATION (HIGHER EDUCATION)",51000.0000
Alexandria,POLITICS,45000.0000
Alexandria,INSURANCE,41447.0000
"Alexandria VA",NONPROFITS,84500.0000
"Alexandria, LA","GOVERNMENT AND PUBLIC ADMINISTRATION",92580.0000
"Alexandria, VA","MARKETING, ADVERTISING & PR",87000.0000
"Alexandria, VA","GOVERNMENT AND PUBLIC ADMINISTRATION",71000.0000
"Alexandria, VA",NONPROFITS,63000.0000
Alexandrira,"TRADE ASSOCIATIONS",67000.0000
Algonac,"ENGINEERING OR MANUFACTURING",54080.0000
"Alice Springs","SOCIAL WORK",78000.0000
"Aliso Viejo","COMPUTING OR TECH",162390.0000
"Aliso Viejo","ENGINEERING OR MANUFACTURING",133400.0000
"Aliso Viejo","HEALTH CARE",108000.0000
"Aliso Viejo","VIDEO GAMES",70000.0000
"Aliso Viejo","VETERINARY MEDICINE",34000.0000
"All Of Them","COMPUTING OR TECH",108000.0000
"All Over",RIDESHARE,48000.0000
"All Over Northern California",RESTORATION,184000.0000
"All, Travel","GOVERNMENT AND PUBLIC ADMINISTRATION",43000.0000
Allegan,LIBRARIES,44335.0000
Allen,"COMPUTING OR TECH",91500.0000
Allen,"EDUCATION (HIGHER EDUCATION)",52798.0000
"Allen Park","EDUCATION (PRIMARY/SECONDARY)",48809.0000
"Allen, TX","UTILITIES & TELECOMMUNICATIONS",95900.0000
Allen/Plano,"HEALTH CARE",65000.0000
"Allendale, Mi","EDUCATION (HIGHER EDUCATION)",50000.0000
Allentown,"HEALTH CARE",138000.0000
Allentown,"RECRUITMENT OR HR",110000.0000
Allentown,"ENGINEERING OR MANUFACTURING",96500.0000
Allentown,"UTILITIES & TELECOMMUNICATIONS",75000.0000
Allentown,"ACCOUNTING, BANKING & FINANCE",74000.0000
Allentown,INSURANCE,67000.0000
Allentown,NONPROFITS,47000.0000
Allentown,"LEISURE, SPORT & TOURISM",34500.0000
Allentown,"TRANSPORT OR LOGISTICS",33800.0000
Alma,"HEALTH CARE",66300.0000
Alpharetta,"COMPUTING OR TECH",124933.3333
Alpharetta,UNKNOWN,120000.0000
Alpharetta,"UTILITIES & TELECOMMUNICATIONS",89000.0000
Alpharetta,NONPROFITS,70000.0000
Alpharetta,"RECRUITMENT OR HR",66000.0000
Alpharetta,RETAIL,55000.0000
Alpharetta,"TRANSPORT OR LOGISTICS",45000.0000
Alpharetta,"GOVERNMENT & PUBLIC ADMINISTRATION",45000.0000
Alpharetta,"HEALTH CARE",40770.0000
"Alpharetta, GA","HEALTH CARE",110000.0000
Altadena,"CONSTRUCTION, HVAC",62400.0000
"Altamonte Springs",RETAIL,31200.0000
Alton,"SOCIAL WORK",39000.0000
Alton,"PROPERTY OR CONSTRUCTION",21840.0000
Altoona,"ACCOUNTING, BANKING & FINANCE",97000.0000
Altus,INSURANCE,31200.0000
Alvarado,"EDUCATION (PRIMARY/SECONDARY)",53000.0000
Amarillo,"UTILITIES & TELECOMMUNICATIONS",104269.0000
Amarillo,"RECRUITMENT OR HR",90000.0000
Amarillo,"TRANSPORT OR LOGISTICS",78000.0000
Amarillo,"COMPUTING OR TECH",70662.0000
Amarillo,"EDUCATION (HIGHER EDUCATION)",49000.0000
Ambler,"ENGINEERING OR MANUFACTURING",76900.0000
Ambler,"PROPERTY OR CONSTRUCTION",72000.0000
"American Fork","MARKETING, ADVERTISING & PR",92000.0000
Amersfoort,PUBLISHING,41877.0000
Ames,"GOVERNMENT AND PUBLIC ADMINISTRATION",68110.0000
Ames,"EDUCATION (HIGHER EDUCATION)",62229.8000
Ames,"ART & DESIGN",50000.0000
Ames,NONPROFITS,45520.0000
Ames,"TRANSPORT OR LOGISTICS",36000.0000
Amesbury,LIBRARY,65000.0000
Amherst,LAW,90000.0000
Amherst,"EDUCATION (HIGHER EDUCATION)",45440.0000
Amherst,"ENGINEERING OR MANUFACTURING",42000.0000
"Amherst, MA","AGRICULTURE OR FORESTRY",56000.0000
Amityville,"ENGINEERING OR MANUFACTURING",37440.0000
Amman,"BUSINESS OR CONSULTING",34000.0000
Ammon,"EDUCATION (PRIMARY/SECONDARY)",46000.0000
Amory,"MEDIA & DIGITAL",32000.0000
Amsterdam,"MARKETING, ADVERTISING & PR",79000.0000
Amsterdam,"MEDIA & DIGITAL",78000.0000
Amsterdam,FMCG,75000.0000
Amsterdam,INSURANCE,72800.0000
Amsterdam,"HEALTH CARE",72500.0000
Amsterdam,"BUSINESS OR CONSULTING",72000.0000
Amsterdam,"RENEWABLE FUELS",72000.0000
Amsterdam,"ACCOUNTING, BANKING & FINANCE",71600.0000
Amsterdam,"COMPUTING OR TECH",69288.2632
Amsterdam,"ENGINEERING OR MANUFACTURING",67000.0000
Amsterdam,"GOVERNMENT AND PUBLIC ADMINISTRATION",65000.0000
Amsterdam,BIOTECH,61500.0000
Amsterdam,ENTERTAINMENT,60000.0000
Amsterdam,"SOCIAL RESEARCH",33048.0000
Amsterdam,SALES,29965.0000
Amsterdsm,"MARKETING, ADVERTISING & PR",38400.0000
Anaconda,"HEALTH CARE",72000.0000
Anacortes,"ACCOUNTING, BANKING & FINANCE",55000.0000
Anaheim,NONPROFITS,120000.0000
Anaheim,"EDUCATION (PRIMARY/SECONDARY)",80000.0000
Anaheim,"MARKETING, ADVERTISING & PR",79500.0000
Anaheim,"PROPERTY OR CONSTRUCTION",66500.0000
Anaheim,"ACCOUNTING, BANKING & FINANCE",45760.0000
"Anaheim-Santa Ana-Irvine Metro Region",INSURANCE,54080.0000
Anchorage,"ACCOUNTING, BANKING & FINANCE",111866.6667
Anchorage,"GOVERNMENT &PUBLIC ADMINISTRATION",95368.0000
Anchorage,"HEALTH CARE",95216.0000
Anchorage,FUNDRAISING,95000.0000
Anchorage,RESEARCH,94000.0000
Anchorage,SALES,90000.0000
Anchorage,"ENGINEERING OR MANUFACTURING",88481.0000
Anchorage,LAW,75000.0000
Anchorage,"WHEREVER I'M ASSIGNED VIA THE UNION",72800.0000
Anchorage,"ENVIRONMENTAL CONSULTING",68000.0000
Anchorage,"GOVERNMENT AND PUBLIC ADMINISTRATION",67654.4000
Anchorage,"COMPUTING OR TECH",67000.0000
Anchorage,"EDUCATION (HIGHER EDUCATION)",64000.0000
Anchorage,"GOVERNMENT  & PUBLIC ADMINISTRATION",63000.0000
Anchorage,LIBRARIES,62000.0000
Anchorage,NONPROFITS,59010.0000
Anchorage,"SOCIAL WORK",51000.0000
Anchorage,RETAIL,50000.0000
Anchorage,"UTILITIES & TELECOMMUNICATIONS",44000.0000
Anchoragr,"GOVERNMENT CONTRACTING",130800.0000
Anderson,"TRANSPORT OR LOGISTICS",60000.0000
Anderson,"EDUCATION (HIGHER EDUCATION)",51000.0000
Anderson,"COMPUTING OR TECH",40000.0000
Andover,"COMPUTING OR TECH",139000.0000
Andover,PHARMACEUTICAL,116358.0000
Andover,"ENGINEERING OR MANUFACTURING",101800.0000
Andover,"EDUCATION (PRIMARY/SECONDARY)",101000.0000
Andover,"EDUCATION (HIGHER EDUCATION)",81600.0000
Andover,"HEALTH CARE",69000.0000
Andover,"ACCOUNTING, BANKING & FINANCE",64200.0000
Ankeny,"ENGINEERING OR MANUFACTURING",58000.0000
Ankeny,"COMPUTING OR TECH",47840.0000
"Ann Arbor","GOVERNMENT AND PUBLIC ADMINISTRATION",119500.0000
"Ann Arbor","GOVERNMENT & PUBLIC ADMINISTRATION",110500.0000
"Ann Arbor","COMPUTING OR TECH",108459.9091
"Ann Arbor",SALES,105000.0000
"Ann Arbor","ENGINEERING OR MANUFACTURING",97660.0000
"Ann Arbor","RECRUITMENT OR HR",91300.0000
"Ann Arbor","BUSINESS OR CONSULTING",90000.0000
"Ann Arbor","PUBLIC HEALTH",87000.0000
"Ann Arbor",BIOTECH,80975.0000
"Ann Arbor","MEDIA & DIGITAL",70500.0000
"Ann Arbor","HEALTH CARE",70115.6250
"Ann Arbor","ACADEMIA / RESEARCH",68500.0000
"Ann Arbor","EDUCATION (HIGHER EDUCATION)",66137.7419
"Ann Arbor","PUBLIC HEALTH (NOT MEDICAL)",65000.0000
"Ann Arbor","LEISURE, SPORT & TOURISM",54000.0000
"Ann Arbor",NONPROFITS,45143.3333
"Ann Arbor",PUBLISHING,38500.0000
"Ann Arbor","ART & DESIGN",31200.0000
"Ann Arbor","EDUCATION (PRIMARY/SECONDARY)",30000.0000
"Ann Arbor",RETAIL,25000.0000
"Ann Arbor","LIBRARY SCIENCE / PART-TIME WORK/STUDY",24252.0000
"Ann Arbor Area","ENGINEERING OR MANUFACTURING",65000.0000
"Ann Arbor, Michigan","SOCIAL WORK",55000.0000
Annandale,"GOVERNMENT AND PUBLIC ADMINISTRATION",125000.0000
Annandale,NONPROFITS,110000.0000
"Annandale VA",NONPROFITS,47000.0000
Annapolis,"COMPUTING OR TECH",154000.0000
Annapolis,"ENGINEERING OR MANUFACTURING",97000.0000
Annapolis,"EDUCATION (HIGHER EDUCATION)",96250.0000
Annapolis,INSURANCE,96000.0000
Annapolis,LAW,89000.0000
Annapolis,"HEALTH CARE",86000.0000
Annapolis,"ACCOUNTING, BANKING & FINANCE",85000.0000
Annapolis,"GOVERNMENT AND PUBLIC ADMINISTRATION",73142.2000
Annapolis,NONPROFITS,66000.0000
Annapolis,"GOVERNMENT  & PUBLIC ADMINISTRATION",65591.5000
Annapolis,ENTERTAINMENT,12000.0000
Annecy,TRANSLATION,22800.0000
Anon,"EDUCATION (HIGHER EDUCATION)",82000.0000
Antrim,"HEALTH CARE",18200.0000
Antwerp,"COMPUTING OR TECH",90000.0000
Antwerp,"AGRICULTURE OR FORESTRY",87500.0000
Antwerp,"BUSINESS OR CONSULTING",63560.0000
Antwerpen,MINING,73000.0000
"Apache Junction","COMPUTING OR TECH",116000.0000
"Apache Junction",NONPROFITS,31824.0000
Apex,"COMPUTING OR TECH",190550.0000
Apex,RETAIL,64300.0000
"Apple Valley","ACCOUNTING, BANKING & FINANCE",85000.0000
"Apple Valley","EDUCATION (PRIMARY/SECONDARY)",53000.0000
Appleton,"BUSINESS OR CONSULTING",90000.0000
Appleton,"ENGINEERING OR MANUFACTURING",80000.0000
Appleton,NONPROFITS,72500.0000
Appleton,"HEALTH CARE",64105.0000
Appleton,"ACCOUNTING, BANKING & FINANCE",62000.0000
Appleton,"SOCIAL WORK",51200.0000
Appleton,"EDUCATION (HIGHER EDUCATION)",46500.0000
Appleton,RETAIL,46000.0000
Arcadia,"ACCOUNTING, BANKING & FINANCE",88000.0000
Arden,SALES,40300.0000
Ardmore,LIBRARIES,26000.0000
Ardrossan,"EDUCATION (PRIMARY/SECONDARY)",47000.0000
Århus,"COMPUTING OR TECH",64000.0000
Arkadelphia,LAW,35000.0000
Arles,"EDUCATION (PRIMARY/SECONDARY)",34000.0000
Arlington,LAW,167456.0000
Arlington,"COMPUTING OR TECH",129467.7727
Arlington,"GOVERNMENT AND PUBLIC ADMINISTRATION",116225.0000
Arlington,"HEALTH CARE",113000.0000
Arlington,"UTILITIES & TELECOMMUNICATIONS",108933.3333
Arlington,"GOVERNMENT  & PUBLIC ADMINISTRATION",106294.6667
Arlington,"GOVERNMENT & PUBLIC ADMINISTRATION",101000.0000
Arlington,"BUSINESS OR CONSULTING",100117.8571
Arlington,"ACCOUNTING, BANKING & FINANCE",98666.6667
Arlington,"ENGINEERING OR MANUFACTURING",98500.0000
Arlington,"MEDIA & DIGITAL",94600.0000
Arlington,"RECRUITMENT OR HR",92500.0000
Arlington,"COMMUNICATION RESEARCH",90456.0000
Arlington,"THINK TANK",90280.0000
Arlington,NONPROFITS,87319.3182
Arlington,"HEALTHCARE TECHNOLOGY",83900.0000
Arlington,"MARKET RESEARCH",70000.0000
Arlington,"SOCIAL WORK",70000.0000
Arlington,"GOVERNMENT CONTRACTING",68000.0000
Arlington,LIBRARY,63000.0000
Arlington,INSURANCE,60000.0000
