Industry,Gender,Highest_Education,Average_Salary
ACADEMIA,Man,PH.D.,56400.0000
ACADEMIA,Woman,"Master'S Degree",40261.0000
ACADEMIA,Woman,PH.D.,21933.3333
"ACADEMIA - STEM",Woman,"College Degree",32000.0000
"ACADEMIA / RESEARCH",Woman,"Master'S Degree",68500.0000
"ACADEMIA--CELL AND MOLECULAR BIOLOGY",Woman,PH.D.,48000.0000
"ACADEMIC MEDICINE",Man,"College Degree",55000.0000
"ACADEMIC PRESS PRODUCTION",Woman,"Master'S Degree",42000.0000
"ACADEMIC PUBLISHING",Woman,"College Degree",64250.0000
"ACADEMIC PUBLISHING",Woman,"Master'S Degree",42166.6667
"ACADEMIC PUBLISHING",Woman,PH.D.,40800.0000
"ACADEMIC RESEARCH",Man,"College Degree",63500.0000
"ACADEMIC RESEARCH",Man,PH.D.,80000.0000
"ACADEMIC RESEARCH",Woman,"Master'S Degree",52166.6667
"ACADEMIC RESEARCH",Woman,PH.D.,64000.0000
"ACADEMIC RESEARCH (PSYCHOLOGY)",Woman,"College Degree",36883.0000
"ACADEMIC RESEARCH (SOCIAL SCIENCE)",Woman,"Master'S Degree",45000.0000
"ACADEMIC SCIENCE",Non-binary,PH.D.,40322.0000
"ACADEMIC SCIENCE",Woman,"Master'S Degree",37000.0000
"ACADEMIC SCIENCE",Woman,PH.D.,50000.0000
"ACADEMIC SCIENTIFIC RESEARCH",Woman,"College Degree",35600.0000
"ACADEMIC/NONPROFIT RESEARCH",Woman,"College Degree",37440.0000
ACCESSIBILITY,Non-binary,"Master'S Degree",4000.0000
ACCESSIBILITY,Woman,"College Degree",74000.0000
"ACCOUNTING, BANKING & FINANCE",Man,"College Degree",87134.8059
"ACCOUNTING, BANKING & FINANCE",Man,"High School",61984.5000
"ACCOUNTING, BANKING & FINANCE",Man,"Master'S Degree",104061.7500
"ACCOUNTING, BANKING & FINANCE",Man,PH.D.,152000.0000
"ACCOUNTING, BANKING & FINANCE",Man,"Professional Degree (MD, Jd, Etc.)",111245.0000
"ACCOUNTING, BANKING & FINANCE",Man,"Some College",70494.3438
"ACCOUNTING, BANKING & FINANCE",Non-binary,"College Degree",48273.5714
"ACCOUNTING, BANKING & FINANCE",Non-binary,"High School",41250.0000
"ACCOUNTING, BANKING & FINANCE",Non-binary,"Master'S Degree",40750.0000
"ACCOUNTING, BANKING & FINANCE",Non-binary,"Some College",60375.0000
"ACCOUNTING, BANKING & FINANCE","Other/Prefer not to answer","College Degree",98964.2857
"ACCOUNTING, BANKING & FINANCE","Other/Prefer not to answer","Master'S Degree",112453.8462
"ACCOUNTING, BANKING & FINANCE","Other/Prefer not to answer","Professional Degree (MD, Jd, Etc.)",128500.0000
"ACCOUNTING, BANKING & FINANCE","Other/Prefer not to answer","Some College",50500.0000
"ACCOUNTING, BANKING & FINANCE",Woman,"College Degree",77000.8755
"ACCOUNTING, BANKING & FINANCE",Woman,"High School",56452.1250
"ACCOUNTING, BANKING & FINANCE",Woman,"Master'S Degree",91785.0146
"ACCOUNTING, BANKING & FINANCE",Woman,PH.D.,113300.0000
"ACCOUNTING, BANKING & FINANCE",Woman,"Professional Degree (MD, Jd, Etc.)",88284.5122
"ACCOUNTING, BANKING & FINANCE",Woman,"Some College",63188.8971
ACTUARIAL,Woman,"College Degree",41000.0000
ADMINISTRATION,Woman,"College Degree",35000.0000
"ADMINISTRATION (FOOD SERVICE)",Woman,"College Degree",29120.0000
"ADMINISTRATION IN MLM",Woman,"Some College",42000.0000
"ADMINISTRATION, IT",Woman,"College Degree",63300.0000
ADMINISTRATIVE,Woman,"Some College",35360.0000
"ADMINISTRATIVE SUPPORT",Woman,"Some College",67558.0000
"ADMINISTRATIVE WORK",Woman,"College Degree",51000.0000
"ADULT EDUCATION",Woman,"College Degree",35568.0000
AEROSPACE,Man,"Master'S Degree",155000.0000
AEROSPACE,Woman,"College Degree",90666.6667
"AEROSPACE  & DEFENSE/GOVERNMENT CONTRACTING",Woman,"College Degree",52000.0000
"AEROSPACE & DEFENSE",Woman,"College Degree",128000.0000
"AEROSPACE & DEFENSE MANUFACTURING",Woman,"College Degree",60000.0000
"AEROSPACE AND DEFENSE",Woman,"College Degree",78750.0000
"AEROSPACE CONTRACTING",Woman,"Master'S Degree",122000.0000
"AEROSPACE DATA",Woman,"Master'S Degree",57000.0000
"AEROSPACE MANUFACTURING",Man,"College Degree",154500.0000
AEROSPACE/AVIATION,Woman,"College Degree",76000.0000
AEROSPACE/AVIATION,Woman,"Master'S Degree",90000.0000
AEROSPACE/DEFENSE,Woman,"College Degree",68800.0000
"AFFORDABLE HOUSING REAL ESTATE DEVELOPMENT (NONPROFIT)",Woman,"Master'S Degree",144200.0000
"AGRICULTURE  OR F ORESTRY",Man,"College Degree",41250.0000
"AGRICULTURE  OR F ORESTRY",Woman,"College Degree",79760.0000
"AGRICULTURE  OR F ORESTRY",Woman,PH.D.,76000.0000
"AGRICULTURE  OR FORESTRY",Woman,"College Degree",46400.0000
"AGRICULTURE  OR FORESTRY",Woman,"Some College",39520.0000
"AGRICULTURE OR FORESTRY",Man,"College Degree",71230.0000
"AGRICULTURE OR FORESTRY",Man,"High School",140000.0000
"AGRICULTURE OR FORESTRY",Man,PH.D.,87500.0000
"AGRICULTURE OR FORESTRY",Man,"Some College",38056.5000
"AGRICULTURE OR FORESTRY",Non-binary,"College Degree",54281.6000
"AGRICULTURE OR FORESTRY",Non-binary,"Master'S Degree",41000.0000
"AGRICULTURE OR FORESTRY",Non-binary,"Some College",58303.0000
"AGRICULTURE OR FORESTRY","Other/Prefer not to answer","College Degree",77550.0000
"AGRICULTURE OR FORESTRY","Other/Prefer not to answer",PH.D.,88000.0000
"AGRICULTURE OR FORESTRY","Other/Prefer not to answer","Some College",26000.0000
"AGRICULTURE OR FORESTRY",Woman,"College Degree",66801.5577
"AGRICULTURE OR FORESTRY",Woman,"High School",79900.0000
"AGRICULTURE OR FORESTRY",Woman,"Master'S Degree",76725.1034
"AGRICULTURE OR FORESTRY",Woman,PH.D.,96547.7778
