Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,"Total _Years_of _Professional_Experience",Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
25-34,"HOSPITALITY & EVENTS","Administrative Assistant",14500,2000,EUR,NA,Spain,Unknown,"A Coruña","5-7 years","2 - 4 years","Some College",Woman
35-44,"COMPUTING OR TECH","Senior Web Developer",60000,2000,EUR,NA,Spain,Unknown,"A Coruña","21 - 30 years","21 - 30 years","Master'S Degree",Man
25-34,"EDUCATION (PRIMARY/SECONDARY)",Teacher,82650,0,USD,NA,"United States",Massachusetts,"A Suburb Of Boston","11 - 20 years","11 - 20 years","Professional Degree (MD, Jd, Etc.)",Non-binary
45-54,"COMPUTING OR TECH","Database Administrator",61000,10000,EUR,NA,Germany,Unknown,Aachen,"21 - 30 years","11 - 20 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Administrative Assistant",51000,2000,CAD,NA,Canada,"British Columbia",Abbotsford,"5-7 years","5-7 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)",Director,110000,2000,CAD,NA,Canada,"British Columbia",Abbotsford,"11 - 20 years","2 - 4 years",PH.D.,Woman
45-54,LAW,"Family Lawyer",95000,2000,CAD,NA,Canada,"British Columbia",Abbotsford,"11 - 20 years","2 - 4 years","Professional Degree (MD, Jd, Etc.)",Woman
25-34,"OIL AND GAS","Administrative Assistant",22000,3000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,"5-7 years","2 - 4 years","Master'S Degree",Woman
25-34,"EDUCATION (PRIMARY/SECONDARY)","Pupil Support Assistant",13000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,"11 - 20 years","1 year or less","Master'S Degree",Woman
35-44,"OIL & GAS","SAP PM Analyst",80000,0,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,"EDUCATION (PRIMARY/SECONDARY)","Secondary School English Teacher",33000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Aberdeen,"8 - 10 years","2 - 4 years","Master'S Degree",Woman
35-44,NONPROFITS,"Assistant Curate",24975,2000,GBP,NA,"United Kingdom",Unknown,Aberdeen,"11 - 20 years","2 - 4 years",PH.D.,Woman
25-34,"GOVERNMENT & PUBLIC ADMINISTRATION","Marine Project Officer",27946,0,GBP,NA,"United Kingdom",Unknown,Aberdeen,"5-7 years","5-7 years","Master'S Degree",Woman
25-34,NONPROFITS,"Operations Administrator",22200,0,GBP,NA,"United Kingdom",Unknown,Aberdeen,"11 - 20 years","5-7 years","College Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Principal Engineer",52000,6000,GBP,NA,"United Kingdom",Unknown,Aberdeen,"8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Senior Planning Engineer",54000,2500,GBP,NA,"United Kingdom",Unknown,Aberdeen,"11 - 20 years","8 - 10 years","Master'S Degree",Man
35-44,"COMPUTING OR TECH","Senior Quality Analyst",40300,500,GBP,NA,"United Kingdom",Unknown,Aberdeen,"11 - 20 years","11 - 20 years","High School",Man
55-64,"ACCOUNTING, BANKING & FINANCE","Accounting Specialist IV",68556,2000,USD,NA,"United States",Washington,Aberdeen,"21 - 30 years","21 - 30 years","College Degree",Woman
35-44,"HEALTH CARE","Communications Lead (Hospital)",34000,300,USD,NA,"United States","South Dakota",Aberdeen,"11 - 20 years","8 - 10 years","High School",Woman
35-44,"GOVERNMENT  & PUBLIC ADMINISTRATION","Configuration Management Specialist",113000,5000,USD,NA,"United States",Maryland,Aberdeen,"11 - 20 years","8 - 10 years","College Degree",Woman
18-24,RETAIL,"Online Grocery Associate",31200,2000,USD,NA,"United States","South Dakota",Aberdeen,"1 year or less","1 year or less","Some College",Woman
55-64,SALES,"Staff Accountant",40000,500,USD,NA,"United States",Washington,Aberdeen,"41 years or more","31 - 40 years","College Degree",Woman
45-54,"UTILITIES & TELECOMMUNICATIONS","Data Analyst",27600,500,GBP,NA,"Great Britain",Unknown,Aberdeen,"21 - 30 years","21 - 30 years","College Degree",Woman
